Señal_0;Señal_1;Target
2,97;0,77;Alerta
0,01;0,82;Alerta
8,22;0,36;Estable
0,36;0,29;Estable
0,02;0,65;Estable
15,08;0,86;Alarma
0,01;0,40;Estable
-13,75;0,72;Estable
17,99;0,93;Alarma
0,00;0,12;Estable
-14,26;0,28;Estable
0,02;0,68;Alerta
0,63;0,43;Estable
0,02;0,61;Estable
0,02;0,21;Estable
14,34;0,81;Alarma
0,02;0,88;Alarma
0,91;0,67;Alerta
0,01;0,73;Alerta
0,02;0,79;Alerta
0,01;0,96;Alerta
0,24;0,70;Alerta
0,51;0,74;Alerta
0,00;0,88;Alerta
0,76;0,67;Alerta
0,21;0,72;Alerta
0,00;0,89;Alerta
0,00;0,72;Estable
0,02;0,89;Alarma
0,00;0,67;Estable
0,01;0,45;Estable
0,02;0,95;Alarma
0,01;0,29;Estable
0,44;0,99;Alarma
0,81;0,67;Alerta
0,18;0,69;Alerta
0,00;0,41;Estable
0,00;0,75;Estable
0,02;0,72;Alerta
0,26;0,50;Estable
0,02;0,88;Alerta
0,00;0,79;Estable
0,34;0,50;Estable
18,04;0,87;Alarma
0,00;0,14;Estable
0,01;0,70;Alerta
0,02;0,53;Estable
-3,28;0,17;Estable
0,00;0,12;Estable
0,01;0,87;Alerta
0,00;0,68;Estable
0,02;0,81;Alerta
0,80;1,00;Alarma
0,88;0,52;Estable
0,01;0,15;Estable
0,01;0,96;Alerta
0,01;0,68;Alerta
18,94;0,88;Alarma
0,00;0,83;Estable
0,02;0,44;Estable
0,00;0,57;Estable
13,74;0,64;Estable
11,15;0,97;Alarma
0,01;0,70;Alerta
0,02;0,85;Alerta
0,00;0,72;Estable
0,08;0,92;Alarma
0,01;0,73;Alerta
-23,02;0,64;Estable
0,02;0,95;Alarma
0,00;0,36;Estable
0,72;0,56;Estable
3,22;0,30;Estable
0,00;0,58;Estable
0,02;0,78;Alerta
0,01;0,78;Alerta
0,00;0,48;Estable
0,19;0,35;Estable
0,00;0,92;Estable
0,95;0,72;Alerta
0,00;0,28;Estable
0,01;0,97;Alerta
0,02;0,82;Alarma
2,03;0,85;Alarma
18,51;0,66;Alerta
0,00;0,76;Alerta
0,00;0,93;Alerta
0,02;0,10;Estable
0,00;0,78;Alerta
0,00;0,97;Alerta
0,00;0,76;Alerta
0,00;0,75;Estable
0,02;0,84;Alarma
0,01;0,55;Estable
0,00;0,73;Estable
0,01;0,62;Estable
0,00;0,87;Estable
4,70;0,38;Estable
0,00;0,85;Alerta
0,00;0,11;Estable
0,00;0,76;Alerta
0,00;0,70;Estable
0,00;0,45;Estable
-15,03;0,67;Estable
0,34;0,71;Alerta
0,02;0,61;Estable
-7,13;0,83;Estable
0,00;0,99;Estable
0,76;0,68;Alerta
14,70;0,87;Alarma
15,48;0,90;Alarma
0,00;0,77;Estable
0,00;0,82;Estable
0,00;0,47;Estable
4,20;0,81;Alarma
0,00;0,52;Estable
0,54;0,91;Alarma
0,38;0,83;Alarma
15,17;0,99;Alarma
0,00;0,90;Alerta
0,00;0,73;Estable
23,55;0,38;Estable
0,00;0,80;Estable
0,00;0,79;Estable
0,00;0,75;Estable
0,56;0,72;Alerta
0,60;0,73;Alerta
0,00;0,64;Estable
0,00;0,80;Alerta
0,54;0,68;Alerta
0,00;0,92;Estable
0,00;0,74;Estable
0,00;0,42;Estable
0,02;0,97;Alarma
0,02;0,88;Alerta
0,52;0,74;Alerta
0,00;0,99;Estable
0,00;0,82;Alerta
0,00;0,99;Estable
15,84;0,36;Estable
0,02;0,68;Alerta
0,00;0,87;Estable
0,00;0,52;Estable
18,80;0,83;Alarma
0,00;0,31;Estable
0,00;0,76;Estable
-2,98;0,89;Estable
0,00;0,97;Estable
0,02;0,96;Alerta
0,00;0,68;Estable
-5,88;0,78;Estable
0,00;0,79;Estable
0,00;0,67;Alerta
0,02;0,69;Alerta
0,09;0,18;Estable
0,02;0,52;Estable
0,64;0,73;Alerta
0,00;0,82;Estable
0,00;0,65;Estable
0,01;0,71;Alerta
0,02;0,26;Estable
0,12;0,27;Estable
0,02;0,94;Alarma
0,00;0,31;Estable
0,00;0,86;Estable
0,02;0,66;Alerta
0,00;0,42;Estable
0,01;0,69;Alerta
14,25;0,94;Alarma
0,00;0,80;Alerta
0,00;0,13;Estable
0,00;0,49;Estable
0,02;0,83;Alerta
-8,56;0,13;Estable
0,00;0,72;Alerta
-6,97;0,67;Estable
0,00;0,70;Estable
0,00;0,77;Estable
0,00;0,78;Alerta
0,00;0,99;Estable
0,98;1,00;Alarma
16,71;0,76;Alerta
0,00;0,83;Estable
0,00;0,90;Estable
0,00;0,67;Estable
0,00;0,30;Estable
10,30;0,70;Alerta
-3,80;0,96;Estable
0,02;0,80;Alerta
0,00;0,66;Alerta
0,00;0,72;Estable
0,00;0,86;Estable
0,01;0,04;Estable
0,00;0,25;Estable
0,27;0,27;Estable
0,02;0,66;Alerta
0,00;0,82;Alerta
-4,51;0,86;Estable
0,86;0,79;Alerta
-14,52;0,59;Estable
0,00;0,75;Alerta
0,00;0,24;Estable
-17,41;0,47;Estable
0,00;0,90;Estable
0,00;0,74;Estable
0,02;0,64;Estable
18,53;0,66;Alerta
8,28;0,85;Alarma
-6,97;0,81;Estable
0,00;0,31;Estable
0,02;0,86;Alarma
0,02;0,67;Alerta
17,82;0,64;Estable
0,00;0,80;Estable
0,02;0,84;Alarma
0,00;0,99;Estable
0,98;0,71;Alerta
0,00;0,87;Estable
0,01;0,77;Alerta
0,00;0,83;Estable
0,00;0,96;Alerta
0,00;0,90;Estable
18,89;0,89;Alarma
0,00;0,85;Estable
0,00;0,75;Estable
13,13;0,99;Alarma
0,00;0,76;Alerta
0,02;0,98;Alarma
0,01;0,96;Alerta
0,02;0,66;Alerta
0,01;0,68;Alerta
0,01;0,72;Alerta
0,00;0,88;Estable
0,22;0,31;Estable
-1,25;0,95;Estable
0,05;0,70;Alerta
0,00;0,39;Estable
0,21;0,90;Alarma
0,01;0,82;Alerta
14,63;0,82;Alarma
0,02;0,90;Alerta
15,17;0,48;Estable
0,02;0,78;Alerta
0,00;0,22;Estable
0,00;0,90;Estable
16,54;0,79;Alerta
9,73;0,23;Estable
0,00;0,74;Estable
0,00;0,64;Estable
0,00;0,80;Alerta
0,00;0,65;Estable
0,00;0,84;Estable
0,02;0,35;Estable
2,54;0,91;Alarma
0,02;0,97;Alerta
0,01;0,92;Alerta
0,01;0,67;Alerta
0,00;0,69;Alerta
3,60;0,33;Estable
0,00;0,69;Estable
0,01;0,58;Estable
12,36;0,12;Estable
0,02;0,93;Alarma
0,00;0,70;Estable
13,81;0,36;Estable
0,00;0,53;Estable
0,00;0,45;Estable
10,60;0,56;Estable
0,00;0,48;Estable
